,window_size(minutes),dt(minutes),max_dist(deg),min_samples,grid_km,pred(hours),thr(%),thr_future(%),tn,fp,fn,tp,roc_auc,accuracy,precision,recall,f1,hss,hss2,tss,csi,n_cases,gauss_bandwith
0,0 days 00:15:00,0 days 00:15:00,0.2,3,2,1,2.3180133601303755e-94,0.99,29380491,12360767,1644534,4312408,0.780397137835293,0.7063767395834644,0.25864347972116886,0.7239298284253901,0.3811211404695786,0.2415444014117504,0.12077220070587523,0.42780154690593997,0.23542289049356555,438,0.1
1,0 days 00:15:00,0 days 00:15:00,0.2,3,2,1,2.6646940975038914e-91,0.95,30193637,13117286,1167148,3220129,0.7815376165732035,0.700524673887065,0.1971014998394789,0.7339698405183899,0.3107528932154939,0.19384719304156406,0.09692359652078199,0.43110661130482636,0.183959405327628,438,0.1
2,0 days 00:15:00,0 days 00:15:00,0.2,3,2,1,1.3263188833676749e-91,0.9,30405527,13698125,922051,2672497,0.7821437590842597,0.6934857919166761,0.1632495698697337,0.7434862463931488,0.2677159272873709,0.16445546528409458,0.08222773264204722,0.4328968874892648,0.15454504922402684,438,0.1
3,0 days 00:15:00,0 days 00:15:00,0.2,3,2,1,4.847525086563368e-90,0.8,30825780,14169504,675035,2027881,0.7829813361253282,0.6887819875802441,0.12519804894432032,0.7502567597365216,0.21458716451129534,0.1300966957778835,0.06504834788894172,0.4353458904107496,0.12018910150411144,438,0.1
4,0 days 00:15:00,0 days 00:15:00,0.2,3,2,1,1.0132559803366992e-85,0.7,31451355,14126638,535481,1584726,0.7836106323140168,0.6926064505578827,0.10086495354572653,0.747439283051136,0.17774384545254032,0.10786230978494199,0.053931154892470905,0.4374950079708358,0.09754053787058349,438,0.1
5,0 days 00:15:00,0 days 00:15:00,0.2,3,2,1,2.4818133115631525e-82,0.6,31949228,14076277,426900,1245795,0.7834921236411896,0.6959386937033263,0.08130721484666042,0.7447831194569243,0.14660924742304499,0.08900379158070908,0.0445018957903546,0.43894667073137533,0.07910325829520809,438,0.1
6,0 days 00:15:00,0 days 00:15:00,0.2,3,2,1,3.028099732172828e-81,0.5,32172176,14223160,330070,972794,0.7830372397176738,0.6948893249640448,0.06401664548339643,0.7466581316238686,0.11792287180815013,0.07118924757270058,0.03559462378635032,0.44009369592283176,0.06265570631605362,438,0.1
7,0 days 00:15:00,0 days 00:15:00,0.2,3,2,2,8.680449375137811e-199,0.99,25510475,16589638,1741578,3856509,0.6829182708095103,0.6156832752598631,0.1886178848269065,0.6888976537878029,0.2961506950060424,0.13714828554015757,0.06857414277007874,0.2948455523124458,0.1738127275329039,438,0.1
8,0 days 00:15:00,0 days 00:15:00,0.2,3,2,2,8.680449375137811e-199,0.95,26010951,17570348,1241102,2875799,0.6837781146427502,0.605615096586454,0.14065236838999542,0.6985348931149911,0.23415652650273694,0.10564655228676705,0.052823276143383543,0.2953723347892284,0.1326032176787383,438,0.1
9,0 days 00:15:00,0 days 00:15:00,0.2,3,2,2,1.1167268826224824e-195,0.9,26437730,17890260,1012418,2357792,0.6844548025442782,0.6037024877249036,0.11644537459702296,0.6995979479023562,0.19965838299194072,0.08933171796201841,0.04466585898100921,0.2960096056382472,0.11090027642850793,438,0.1
10,0 days 00:15:00,0 days 00:15:00,0.2,3,2,2,1.1116892376226844e-193,0.8,26824117,18343552,754004,1776527,0.6848645635148607,0.5996168408870775,0.08829622388659607,0.7020372404052746,0.15686350168935848,0.0691270966919804,0.03456354834599027,0.29591595041796087,0.08510682840534839,438,0.1
11,0 days 00:15:00,0 days 00:15:00,0.2,3,2,2,6.01093517005616e-197,0.7,26794345,18920060,574892,1408903,0.6853317865975777,0.5912853734522476,0.0693052075504294,0.710205943658493,0.12628676383260196,0.054642247167727566,0.027321123583863866,0.2963307111141779,0.06739919502885951,438,0.1
12,0 days 00:15:00,0 days 00:15:00,0.2,3,2,2,5.1553635900094825e-201,0.6,26669360,19463950,441853,1123037,0.6852423122336233,0.5826718199009606,0.05455081892265245,0.7176459687262363,0.10139429719657617,0.043037850458393756,0.021518925229196892,0.29573932469830944,0.0534046100498173,438,0.1
13,0 days 00:15:00,0 days 00:15:00,0.2,3,2,2,4.1703033817609064e-204,0.5,26581130,19898399,336077,882594,0.6855684452139299,0.5757811405881145,0.0424712139597949,0.7242266370497041,0.08023704362030257,0.03358977192114678,0.016794885960573314,0.29611560778346524,0.041795286940849274,438,0.1
14,0 days 00:15:00,0 days 00:15:00,0.2,3,2,3,1.4392382051044806e-259,0.99,26801480,15622817,2194657,3079246,0.6203071436937734,0.6264539542372668,0.16464739745556412,0.5838647392642603,0.2568610582781106,0.10195360305616015,0.050976801528080075,0.2156130979936931,0.1473554701407685,438,0.1
15,0 days 00:15:00,0 days 00:15:00,0.2,3,2,3,3.715987468110427e-254,0.95,27620386,16206526,1601662,2269626,0.6202771192590542,0.6266486366361833,0.12284083828710654,0.5862715458007774,0.20312178934141897,0.07959991161863454,0.039799955809317326,0.21648674325753642,0.11304148947689226,438,0.1
