,window_size(minutes),dt(minutes),max_dist(deg),min_samples,grid_km,pred(hours),thr(%),thr_future(%),tn,fp,fn,tp,roc_auc,accuracy,precision,recall,f1,hss,hss2,tss,csi,n_cases,gauss_bandwith
0,0 days 00:30:00,0 days 00:30:00,0.2,3,10,1,3.540057502333297e-20,0.99,2958776,598146,90343,316695,0.8825178463275969,0.8263128285855559,0.3461749090825619,0.7780477498415381,0.47915883375104684,0.3928661324473945,0.1964330662236972,0.6098838148438069,0.3150617200432956,910,0.1
1,0 days 00:30:00,0 days 00:30:00,0.2,3,10,1,5.317635455646878e-17,0.95,3063521,602770,67384,230285,0.8815936567062981,0.8309382536655264,0.27643432906590804,0.7736277543177154,0.4073230956449143,0.3335841881854637,0.1667920940927318,0.609219091721102,0.25574747428754196,910,0.1
2,0 days 00:30:00,0 days 00:30:00,0.2,3,10,1,1.9514090293455787e-16,0.9,3092500,628726,53638,189096,0.8815570776576287,0.8278580005852733,0.2312190183193898,0.7790256000395495,0.3565978599904201,0.28949796252701404,0.14474898126350708,0.6100689174838541,0.2169875840543456,910,0.1
3,0 days 00:30:00,0 days 00:30:00,0.2,3,10,1,9.077317925618191e-15,0.8,3152241,630373,40507,140839,0.8811381040182972,0.8307551034823762,0.1826203430444547,0.7766314117763833,0.29570692808206955,0.23936000300596572,0.11968000150298275,0.6099813121362931,0.17350708804401524,910,0.1
4,0 days 00:30:00,0 days 00:30:00,0.2,3,10,1,6.081573266894381e-14,0.7,3185018,637279,31732,109931,0.8808684321713742,0.8312266016811471,0.1471219603592029,0.7760036142111914,0.24734917136643822,0.19923591938572033,0.09961795969286015,0.6092769051145408,0.1411286077782428,910,0.1
5,0 days 00:30:00,0 days 00:30:00,0.2,3,10,1,1.0369325883664955e-14,0.6,3170685,681808,23817,87650,0.8804713159320479,0.8219898788080606,0.1139113505870366,0.7863313805879767,0.19899537418054886,0.15761407402683733,0.07880703701341876,0.6093529928271164,0.11049131763890202,910,0.1
6,0 days 00:30:00,0 days 00:30:00,0.2,3,10,1,2.1522137545481472e-14,0.5,3185175,692161,18422,68202,0.8801666498860925,0.820739109375473,0.08969663174036611,0.7873337643147396,0.16104615537192424,0.12678480455420013,0.0633924022771001,0.608819186264243,0.08757487624954256,910,0.1
7,0 days 00:30:00,0 days 00:30:00,0.2,3,10,2,9.790929533735351e-33,0.99,2699858,872079,96909,295114,0.8283095793332296,0.7555505100959646,0.2528407898265325,0.7527976674837956,0.37854152343228903,0.270534082261818,0.13526704113090904,0.5086503043024181,0.23345742669499772,910,0.1
8,0 days 00:30:00,0 days 00:30:00,0.2,3,10,2,1.3540876161384912e-28,0.95,2802323,874901,72742,213994,0.8278059744960018,0.7609352768443678,0.19652399910000506,0.7463101947435969,0.31112122364209593,0.22203117446004492,0.11101558723002239,0.5083858800975487,0.18421761703527006,910,0.1
9,0 days 00:30:00,0 days 00:30:00,0.2,3,10,2,9.474419053781082e-28,0.9,2832956,897175,58657,175172,0.8280062497420562,0.7588694134148679,0.1633538397552285,0.7491457432568245,0.26822112793375474,0.1897416187808117,0.09487080939040587,0.5086246998940043,0.15488185718176062,910,0.1
10,0 days 00:30:00,0 days 00:30:00,0.2,3,10,2,4.750405499196865e-24,0.8,2921556,867664,45870,128870,0.8280039729484284,0.7695400559036922,0.12931821693991374,0.7374957079088932,0.22005098721563016,0.15680157907290002,0.07840078953645005,0.5085134899326342,0.12362769137493716,910,0.1
11,0 days 00:30:00,0 days 00:30:00,0.2,3,10,2,1.0641077860565644e-23,0.7,2939459,887932,35492,101077,0.8278893840720772,0.7670450761359853,0.10220028331390311,0.740116717556693,0.17960016986828103,0.12672801158103003,0.06336400579051497,0.5081226516250962,0.09865973776501927,910,0.1
12,0 days 00:30:00,0 days 00:30:00,0.2,3,10,2,1.0641077860565644e-23,0.6,2947309,909163,27642,79846,0.827422791825458,0.7636694113966841,0.08073334014149518,0.742836409645728,0.14563833735979215,0.10169667129721525,0.05084833564860771,0.5070864806951223,0.07853825944203074,910,0.1
13,0 days 00:30:00,0 days 00:30:00,0.2,3,10,2,1.0641077860565644e-23,0.5,2953659,926776,21292,62233,0.8269882079484815,0.7608280608280609,0.0629246043261487,0.7450823106854235,0.11604853552428175,0.08030904929367257,0.04015452464683621,0.5062492932530995,0.061598474118109356,910,0.1
14,0 days 00:30:00,0 days 00:30:00,0.2,3,10,3,8.088505709983472e-51,0.99,2480424,1106764,102574,274198,0.7743331398882102,0.694916699462154,0.19855578937001886,0.7277557780302145,0.3119903239056649,0.19119446627653,0.09559723313826508,0.41922330078062514,0.1848273314567358,910,0.1
15,0 days 00:30:00,0 days 00:30:00,0.2,3,10,3,6.537215820130161e-48,0.95,2548152,1140078,75068,200662,0.7741612316359385,0.6934514979969525,0.14966511031221563,0.7277481594313278,0.24827185162731136,0.15021684114111183,0.07510842057055599,0.4186356583129051,0.1417296695597143,910,0.1
16,0 days 00:30:00,0 days 00:30:00,0.2,3,10,3,1.1006984710895763e-49,0.9,2540185,1198876,58504,166395,0.7745688192724319,0.6827970009788191,0.12187690209489545,0.7398654507134313,0.2092795109956797,0.12392970874047875,0.06196485437023945,0.4192298686782626,0.11686888728907306,910,0.1
17,0 days 00:30:00,0 days 00:30:00,0.2,3,10,3,9.565411783608196e-46,0.8,2609289,1186588,44795,123288,0.7754278637593783,0.6893553416280689,0.09412188634649386,0.7334947615166316,0.1668354805512196,0.09912483806183711,0.04956241903091859,0.4208955914170736,0.09100955139661217,910,0.1
18,0 days 00:30:00,0 days 00:30:00,0.2,3,10,3,4.2289085523105264e-44,0.7,2642666,1189953,35143,96198,0.7761199737092194,0.6909413818504727,0.07479526120960914,0.7324293251916766,0.13572986655303876,0.08043906211672032,0.04021953105836023,0.4219489461088614,0.07280590088201415,910,0.1
19,0 days 00:30:00,0 days 00:30:00,0.2,3,10,3,4.2289085523105264e-44,0.6,2650424,1210175,27385,75976,0.7758570265325079,0.6877970514334151,0.05907237952619871,0.7350548079062702,0.10935637835441507,0.06418349707095244,0.03209174853547623,0.42158661294481475,0.05784082050282596,910,0.1
20,0 days 00:30:00,0 days 00:30:00,0.2,3,10,3,2.7470074954842694e-40,0.5,2712659,1171002,22220,58079,0.7754858987901069,0.6989823308005126,0.04725400522829659,0.7232842252082841,0.08871221494142266,0.05268591454478012,0.026342957272390024,0.4217640873795704,0.0464148913810506,910,0.1
21,0 days 00:30:00,0 days 00:30:00,0.2,3,10,4,4.023900483101577e-68,0.99,2364802,1238223,111178,249757,0.7311133279166453,0.6595825891280437,0.16784970228094465,0.6919722387687534,0.27016601628522674,0.14483458250724582,0.07241729125362288,0.3483101770289653,0.15618031489071124,910,0.1
22,0 days 00:30:00,0 days 00:30:00,0.2,3,10,4,3.81550879007311e-61,0.95,2470193,1229630,84089,180048,0.7314517754233968,0.6685841935841936,0.1277227849196767,0.6816462668993742,0.21513488647192194,0.11590528834633385,0.05795264417316688,0.3492979356413654,0.12053285418676407,910,0.1
23,0 days 00:30:00,0 days 00:30:00,0.2,3,10,4,3.669553473269079e-61,0.9,2486811,1261732,67293,148124,0.7323526365067541,0.664722903359267,0.1050632121294657,0.687615183574184,0.18227583919747636,0.09715360582354919,0.04857680291177464,0.3510225394455186,0.10027695242660016,910,0.1
24,0 days 00:30:00,0 days 00:30:00,0.2,3,10,4,3.669553473269079e-61,0.8,2504696,1298216,49408,111640,0.7329697168703301,0.6600308782126963,0.07918539198329475,0.6932094779196264,0.14213471988103663,0.07465305731942973,0.03732652865971492,0.35183528887712423,0.07650431998596553,910,0.1
25,0 days 00:30:00,0 days 00:30:00,0.2,3,10,4,5.382025254433706e-61,0.7,2517745,1320356,38184,87675,0.733544358826167,0.6572770663679754,0.062267805183266564,0.6966128763139704,0.1143171935406059,0.05949396652955558,0.02974698326477781,0.35260004288410496,0.06062376617584522,910,0.1
26,0 days 00:30:00,0 days 00:30:00,0.2,3,10,4,5.382025254433706e-61,0.6,2526240,1338673,29689,69358,0.734209300472799,0.6547992411628776,0.04925885864728831,0.7002534150453825,0.09204301303582166,0.04757482741339098,0.023787413706695414,0.35388779180884394,0.04824166040675514,910,0.1
27,0 days 00:30:00,0 days 00:30:00,0.2,3,10,4,3.8818946841972294e-61,0.5,2531493,1355509,22850,54108,0.7350014519111218,0.6522772681863591,0.038384894620311756,0.7030847995010265,0.07279551990313303,0.03735204437176118,0.018676022185880492,0.3543561392121973,0.03777259790277891,910,0.1
28,0 days 00:30:00,0 days 00:30:00,0.2,3,10,5,6.581413489149247e-85,0.99,2305957,1314147,114787,229069,0.7009797116691077,0.6395185622458349,0.1484361230054639,0.666177120655158,0.24277717013447286,0.11758120397697727,0.05879060198848874,0.30316351662610247,0.13815958113465415,910,0.1
29,0 days 00:30:00,0 days 00:30:00,0.2,3,10,5,5.176888916322898e-79,0.95,2389245,1323159,85701,165855,0.7009716311326633,0.6445826900372355,0.11138578952246252,0.6593164146353099,0.19057550112894053,0.0919848348027825,0.04599241740139136,0.3029007335833554,0.10532382050085254,910,0.1
30,0 days 00:30:00,0 days 00:30:00,0.2,3,10,5,4.8891172904253643e-79,0.9,2405494,1353359,69224,135883,0.7011731638270456,0.6411207479389297,0.09124306190666125,0.662498110742198,0.16039552654146225,0.07638481047463076,0.038192405237315416,0.3024523733856161,0.08719022423331661,910,0.1
31,0 days 00:30:00,0 days 00:30:00,0.2,3,10,5,6.601330557291907e-71,0.8,2499096,1311525,54268,99071,0.7014734103585264,0.6554473304473305,0.07023343324382034,0.6460913401026483,0.12669452374938855,0.06118291046361786,0.030591455231808888,0.3019151546462621,0.06763153439500186,910,0.1
32,0 days 00:30:00,0 days 00:30:00,0.2,3,10,5,5.763345597516402e-71,0.7,2510773,1333355,42004,77828,0.7018632821823639,0.6530340871249962,0.05515089113176675,0.6494759329728286,0.10166850096178025,0.04865125294552294,0.024325626472761513,0.3026209375096182,0.053556768674644074,910,0.1
33,0 days 00:30:00,0 days 00:30:00,0.2,3,10,5,4.291875100152589e-71,0.6,2518750,1350919,32757,61534,0.7023553807664853,0.6509359327541145,0.04356534341319676,0.6525967483641069,0.0816781085572599,0.03881202176799759,0.019406010883998893,0.30349221254980335,0.04257789525397693,910,0.1
34,0 days 00:30:00,0 days 00:30:00,0.2,3,10,5,4.291875100152589e-71,0.5,2526180,1364521,25327,47932,0.7020968953341786,0.6493789039243585,0.03393528846623569,0.6542813852222935,0.0645239454214545,0.030454156612850822,0.015227078306425456,0.30356797907774524,0.03333750643352947,910,0.1
35,0 days 00:30:00,0 days 00:30:00,0.2,3,10,6,9.423521523736669e-107,0.99,2245953,1392658,114053,211296,0.6760330676603564,0.6198975267157085,0.13173445123737962,0.6494441353746285,0.21903868910171187,0.0956161501711766,0.047808075085588285,0.2666997309851513,0.12298902158140217,910,0.1
36,0 days 00:30:00,0 days 00:30:00,0.2,3,10,6,1.810032828415986e-114,0.95,2225177,1500953,78548,159282,0.6763558160214167,0.6015345765345765,0.09593943026137866,0.6697304797544464,0.16783619106827216,0.0702490780924566,0.03512453904622831,0.2669122742704724,0.09160545047886942,910,0.1
37,0 days 00:30:00,0 days 00:30:00,0.2,3,10,6,2.5234076660318302e-114,0.9,2241306,1528768,63478,130408,0.6766115030120072,0.5983193574102665,0.07859805108077744,0.67260142557998,0.14074866356333463,0.05826282279155907,0.029131411395779436,0.26710063169635867,0.07570179502093863,910,0.1
38,0 days 00:30:00,0 days 00:30:00,0.2,3,10,6,4.3590985741631315e-114,0.8,2259603,1559502,46905,97950,0.6770127731645795,0.5947469197469197,0.059096734023066734,0.6761934348141244,0.10869402382612951,0.04447107357687054,0.022235536788435324,0.26785116614122856,0.05747035392232965,910,0.1
39,0 days 00:30:00,0 days 00:30:00,0.2,3,10,6,9.579089531283054e-115,0.7,2265542,1585255,36201,76962,0.6772978999569395,0.5909504636777364,0.046300813912984885,0.6800986188065004,0.08669918552647884,0.035119949125847864,0.01755997456292393,0.26842929424849327,0.04531393331912403,910,0.1
40,0 days 00:30:00,0 days 00:30:00,0.2,3,10,6,2.1257909009838615e-108,0.6,2318620,1556295,29303,59742,0.6782249784778562,0.5999964681782863,0.03696821298027211,0.6709191981582346,0.07007522218872757,0.02871697750025866,0.014358488750129322,0.2692858720078546,0.03630982046263994,910,0.1
41,0 days 00:30:00,0 days 00:30:00,0.2,3,10,6,1.4730826907808844e-100,0.5,2383382,1511394,23606,45578,0.6791820217471249,0.6127609763973401,0.029273487256032862,0.6587939407955596,0.05605612253682918,0.02341733573781874,0.011708667868909362,0.2707372207171777,0.028836286472417053,910,0.1
42,0 days 00:30:00,0 days 00:30:00,0.2,3,2,1,4.810459946108449e-20,0.99,73712177,15073446,2264845,8048532,0.8827994998627215,0.8250407067679795,0.34809011581967597,0.7803973422090553,0.4814384055440715,0.3942464003232193,0.1971232001616096,0.6106238418305087,0.3170358102705486,910,0.1
43,0 days 00:30:00,0 days 00:30:00,0.2,3,2,1,2.82816034887144e-17,0.95,76108480,15448321,1667435,5874764,0.881926789840296,0.8272862894681077,0.275511915841446,0.7789192515339359,0.4070470257628506,0.33192678446571555,0.1659633922328578,0.6101898853779472,0.2555298444750271,910,0.1
44,0 days 00:30:00,0 days 00:30:00,0.2,3,2,1,2.0967108224433153e-16,0.9,77024420,15922478,1344055,4808047,0.8816472244227176,0.8257648109466291,0.23193078805288336,0.781529142397184,0.35770663335841396,0.2896976821796221,0.14484884108981108,0.6102218869361141,0.21780921766121938,910,0.1
45,0 days 00:30:00,0 days 00:30:00,0.2,3,2,1,4.080078036131519e-15,0.8,78271520,16229644,1002461,3595375,0.8813720921149872,0.8261122211122212,0.18135543779302304,0.7819711272868367,0.2944270847941406,0.2369514820618515,0.1184757410309256,0.6102309781390443,0.17262650114176079,910,0.1
46,0 days 00:30:00,0 days 00:30:00,0.2,3,2,1,1.479581751601315e-14,0.7,78903321,16603386,775049,2817244,0.8811319919464596,0.8246356169083442,0.14506450099713553,0.784246719296004,0.24484017089006901,0.19562698290934682,0.09781349145467348,0.6104014834844499,0.13949736475807523,910,0.1
47,0 days 00:30:00,0 days 00:30:00,0.2,3,2,1,4.1767300050680345e-14,0.6,79403912,16868371,606104,2220613,0.8808273380174679,0.8236664850301214,0.1163295542601953,0.7855802331821685,0.2026504194412946,0.16095829252567412,0.08047914626283706,0.6103649949603845,0.11274958507420733,910,0.1
48,0 days 00:30:00,0 days 00:30:00,0.2,3,2,1,1.5942592228472332e-13,0.5,79969787,16931433,475253,1722527,0.8800607315495872,0.8243505383505384,0.09234109004200716,0.7837577009527796,0.16521661981206362,0.1307235708983039,0.06536178544915176,0.6090289101284743,0.09004693502027501,910,0.1
49,0 days 00:30:00,0 days 00:30:00,0.2,3,2,2,4.913633428811504e-32,0.99,67446688,21728942,2465212,7458158,0.8279987276961935,0.7558587473132927,0.2555292577885436,0.7515751201456763,0.38138933129670904,0.2726869084213522,0.13634345421067617,0.5079105449697006,0.23562759017413956,910,0.1
50,0 days 00:30:00,0 days 00:30:00,0.2,3,2,2,2.0116512895532948e-28,0.95,69815822,22021648,1827156,5434374,0.827993802366314,0.7593436462527372,0.197930129863678,0.7483786474751188,0.31306204999707354,0.2230101865479264,0.11150509327396319,0.5085892891663588,0.18558006238257338,910,0.1
51,0 days 00:30:00,0 days 00:30:00,0.2,3,2,2,1.229091948486763e-26,0.9,71037079,22137829,1501231,4422861,0.828002284739926,0.7614601560056106,0.1665190550396093,0.7465888443325999,0.2723035666362175,0.19345968547329503,0.09672984273664752,0.5089945233379389,0.15761077083781969,910,0.1
52,0 days 00:30:00,0 days 00:30:00,0.2,3,2,2,2.09858032622303e-24,0.8,72561211,22109449,1138952,3289388,0.8281094463245084,0.7654022644022644,0.12950939446558124,0.7428038497495676,0.22056314615359005,0.15635932577407932,0.07817966288703958,0.5092631836128786,0.1239510947954255,910,0.1
53,0 days 00:30:00,0 days 00:30:00,0.2,3,2,2,9.352302771350994e-24,0.7,73162269,22475763,885382,2575586,0.8281859773171055,0.7642645738100283,0.10281226771460492,0.7441808187767122,0.18066479830453624,0.12709448961133377,0.06354724480566686,0.509172187482417,0.09930264534879125,910,0.1
54,0 days 00:30:00,0 days 00:30:00,0.2,3,2,2,1.076741472314812e-22,0.6,73920869,22454709,704918,2018504,0.8278208020859985,0.766298075661712,0.08247809554062231,0.7411646083493487,0.14843777548215062,0.10412822583352373,0.052064112916761815,0.5081729162009498,0.08016893708274057,910,0.1
55,0 days 00:30:00,0 days 00:30:00,0.2,3,2,2,4.070861545471025e-22,0.5,74395838,22586192,550632,1566338,0.8272552517488928,0.7665281788918152,0.06485192234519531,0.7398961723595516,0.1192514513028417,0.08323988932364365,0.04161994466182187,0.5070056873903259,0.06340637688406042,910,0.1
56,0 days 00:30:00,0 days 00:30:00,0.2,3,2,3,1.7695106765799062e-50,0.99,61768524,27786925,2595782,6947769,0.7735236401328023,0.6934105591378319,0.20002390117500388,0.7280066926870302,0.31382314271941,0.1916939024431759,0.09584695122158789,0.4177304860432558,0.18611519981690028,910,0.1
57,0 days 00:30:00,0 days 00:30:00,0.2,3,2,3,3.4449853087915567e-47,0.95,63611108,28503257,1903793,5080842,0.7738707561834743,0.6931649158921886,0.1512871314487252,0.7274312830949649,0.2504806780512303,0.15146177858366267,0.07573088929183135,0.41799792815624276,0.14317114130081324,910,0.1
58,0 days 00:30:00,0 days 00:30:00,0.2,3,2,3,1.5050479393022882e-45,0.9,64550742,28849184,1553465,4145609,0.7742623298325648,0.6932093260275078,0.12564434030545366,0.7274179980817936,0.21427731686781268,0.12883593887038772,0.0644179694351938,0.41853998034118,0.11999473316425968,910,0.1
59,0 days 00:30:00,0 days 00:30:00,0.2,3,2,3,5.838173872773859e-44,0.8,65533473,29305464,1151688,3108375,0.7753623296105946,0.6926593406593406,0.09589653974649531,0.729654702289614,0.1695142774826633,0.1012167356313387,0.05060836781566936,0.42065225111283633,0.092606172994096,910,0.1
60,0 days 00:30:00,0 days 00:30:00,0.2,3,2,3,9.6002457624276e-42,0.7,66602650,29166474,910386,2419490,0.7760224424824321,0.6964968364968365,0.07660016328771856,0.7266006301736161,0.13858982055136007,0.08283151743047187,0.041415758715236055,0.42205076293247895,0.07445420793412183,910,0.1
61,0 days 00:30:00,0 days 00:30:00,0.2,3,2,3,9.589883657479808e-42,0.6,66804780,29672813,708083,1913324,0.7762508449524986,0.6934288337924701,0.06057480216716593,0.729884371255589,0.11186561654353203,0.06625145050996366,0.03312572525498191,0.42232266622839165,0.059246639181872174,910,0.1
62,0 days 00:30:00,0 days 00:30:00,0.2,3,2,3,4.329128295435168e-42,0.5,66839943,30220288,542904,1495865,0.7761501841014137,0.689571115752934,0.04716413746648277,0.7337099004350174,0.08863092618018788,0.051979588619140364,0.0259897943095701,0.42235387244452144,0.046370388322262486,910,0.1
63,0 days 00:30:00,0 days 00:30:00,0.2,3,2,4,4.5266746988901625e-65,0.99,59578451,30366516,2877926,6276107,0.7308276588549492,0.6645330225330225,0.17127886832773953,0.6856111399205137,0.2740858197157452,0.14817047018538476,0.07408523509269244,0.34799896424424714,0.15880616941834488,910,0.1
64,0 days 00:30:00,0 days 00:30:00,0.2,3,2,4,4.429259055956123e-61,0.95,61481469,30921403,2117386,4578742,0.7310927024901571,0.6666082503355231,0.12897812107528012,0.6837894974528563,0.21702115729510044,0.11658103776494536,0.05829051888247264,0.3491526801037159,0.1217183020331664,910,0.1
65,0 days 00:30:00,0 days 00:30:00,0.2,3,2,4,4.416441927581086e-61,0.9,61904317,31732023,1694146,3768514,0.7321073920185522,0.6626992300628665,0.10615371818178412,0.6898679397948985,0.1839951115143674,0.09779425946731576,0.04889712973365779,0.3509821717266463,0.10131862126637832,910,0.1
66,0 days 00:30:00,0 days 00:30:00,0.2,3,2,4,4.5405826964372624e-61,0.8,62364114,32650832,1237872,2846182,0.7336824000231661,0.6580318267590994,0.08018088507388255,0.6969011673205104,0.14381532100144442,0.0754753130329077,0.03773765651645396,0.3532622623423399,0.07747899367375198,910,0.1
67,0 days 00:30:00,0 days 00:30:00,0.2,3,2,4,4.5627817776772324e-61,0.7,62648301,33258514,954310,2237875,0.73448089856964,0.6547611580338853,0.06304514523998483,0.7010480282314465,0.11568661072904883,0.06013241016792024,0.03006620508396009,0.35426856318508876,0.06139457023855702,910,0.1
68,0 days 00:30:00,0 days 00:30:00,0.2,3,2,4,4.7743392776609874e-61,0.6,62865195,33721023,743121,1769661,0.7350880670068228,0.6522251082251083,0.049862690727515986,0.7042636408570262,0.0931315580531523,0.048047611501147336,0.024023805750573595,0.3551349173366581,0.04884005419800653,910,0.1
69,0 days 00:30:00,0 days 00:30:00,0.2,3,2,4,4.769289519246736e-61,0.5,63034383,34110532,573792,1380293,0.7352858949274268,0.6500032896396533,0.03889154450481216,0.7063628245444799,0.07372393203775894,0.03775623907699901,0.01887811953849955,0.3552324334169566,0.03827277577909673,910,0.1
70,0 days 00:30:00,0 days 00:30:00,0.2,3,2,5,4.063437338483343e-79,0.99,58609101,31762797,3001504,5725598,0.7017269874378469,0.6491962481962482,0.1527298781396216,0.6560709385544021,0.2477782722968445,0.12239517385611955,0.06119758692805975,0.30460330643717026,0.14140805834067405,910,0.1
71,0 days 00:30:00,0 days 00:30:00,0.2,3,2,5,1.5815677663934693e-76,0.95,60036519,32679547,2189958,4192976,0.7018040111823536,0.6481346431346431,0.11371546232407259,0.6569041760419267,0.1938703826432813,0.09442941671438768,0.04721470835719395,0.30443509047912903,0.10734023781029167,910,0.1
72,0 days 00:30:00,0 days 00:30:00,0.2,3,2,5,2.2261667791919173e-74,0.9,60948728,32944499,1797393,3408380,0.7019322102784054,0.6494223756041938,0.09375818624984282,0.6547308151930559,0.1640274569059651,0.0794251051143673,0.03971255255718362,0.30385887210817286,0.08934090954842995,910,0.1
73,0 days 00:30:00,0 days 00:30:00,0.2,3,2,5,2.1401014642091707e-73,0.8,61648869,33558983,1337693,2553455,0.7022889883116082,0.6478604627695537,0.07070846338317009,0.6562215058383798,0.12766130516399207,0.06110101149132625,0.030550505745663138,0.30374025250645925,0.06818280555547322,910,0.1
