,window_size(minutes),dt(minutes),max_dist(deg),min_samples,grid_km,pred(hours),thr(%),thr_future(%),tn,fp,fn,tp,roc_auc,accuracy,precision,recall,f1,hss,hss2,tss,csi,n_cases,gauss_bandwith
0,0 days 00:15:00,0 days 00:15:00,0.2,3,2,1,1.926285078689718e-76,0.99,60783994,24669239,2316351,8280216,0.818524835151027,0.7190458491324292,0.2513005450317767,0.7814055250157905,0.3802972404689457,0.25609962944363796,0.12804981472181895,0.4927185071706026,0.23479446350949698,882,0.1
1,0 days 00:15:00,0 days 00:15:00,0.2,3,2,1,2.1225996071038234e-72,0.95,62434062,25861201,1668306,6086231,0.818308094913117,0.7133829846600409,0.19050767523348983,0.7848606564131424,0.30659592727000523,0.20304688559942266,0.10152344279971133,0.49196611007717417,0.18105302343800989,882,0.1
2,0 days 00:15:00,0 days 00:15:00,0.2,3,2,1,2.669297739783806e-69,0.9,63521640,26202037,1369758,4956365,0.818200607637817,0.7129427130509381,0.1590699356147982,0.7834759140788126,0.2644485957871948,0.17400642072271785,0.08700321036135897,0.49144556182296373,0.1523715144047496,882,0.1
3,0 days 00:15:00,0 days 00:15:00,0.2,3,2,1,1.4000212520553637e-66,0.8,64576585,26744147,1022930,3706138,0.8179974016863742,0.7109095802385845,0.12171111042146239,0.7836931082403552,0.21069961121797776,0.1371560118958998,0.06857800594794995,0.49083357443810754,0.11775530399420586,882,0.1
4,0 days 00:15:00,0 days 00:15:00,0.2,3,2,1,1.3936075580750966e-66,0.7,64818405,27536660,780567,2914168,0.8179177993690692,0.7051818223463245,0.09570078028748512,0.7887353220190352,0.17069087424330945,0.10960144005673036,0.05480072002836512,0.49057452271690705,0.09330892840361438,882,0.1
5,0 days 00:15:00,0 days 00:15:00,0.2,3,2,1,2.0328588376469906e-65,0.6,65293617,27848948,613006,2294229,0.8175552704586773,0.7036750310776285,0.07611105491634143,0.7891446683876604,0.13883209685858075,0.088507670450639,0.044253835225319456,0.4901519575899709,0.07459407430369366,882,0.1
6,0 days 00:15:00,0 days 00:15:00,0.2,3,2,1,4.55472042774726e-64,0.5,65786433,28003135,480892,1779340,0.8165552916518348,0.703445223207128,0.05974453096997479,0.7872377702819887,0.1110605293117089,0.0703959636320165,0.03519798181600824,0.48866367939802174,0.058795176359590126,882,0.1
7,0 days 00:15:00,0 days 00:15:00,0.2,3,2,2,1.4080437786125612e-156,0.99,53454614,32300525,2985253,7309408,0.713677232806369,0.6326303854875284,0.1845347226414142,0.7100193002955609,0.2929352756581889,0.14796997477953816,0.07398498738976905,0.33335936624776,0.1716017392200142,882,0.1
8,0 days 00:15:00,0 days 00:15:00,0.2,3,2,2,2.3877726377684583e-161,0.95,53715821,34798786,2066631,5468562,0.7146192895806096,0.6161843439549067,0.1358063610248184,0.7257361556631662,0.22879796285306253,0.11134525908297935,0.05567262954148971,0.3325944225704575,0.1291766597229143,882,0.1
9,0 days 00:15:00,0 days 00:15:00,0.2,3,2,2,2.908953338870631e-159,0.9,54394743,35506980,1673301,4474776,0.7155517956012316,0.6129062111529644,0.11192044691583831,0.7278334347471576,0.1940078993999393,0.0934165595364643,0.04670827976823216,0.33288015893507994,0.10742455591886478,882,0.1
10,0 days 00:15:00,0 days 00:15:00,0.2,3,2,2,2.472789644445234e-161,0.8,54575230,36875980,1209339,3389251,0.7167596907424751,0.6034836199554814,0.08417314183544607,0.7370196081842478,0.1510906081762407,0.07127671579327995,0.035638357896639966,0.3337884207565473,0.0817187736967496,882,0.1
